Newfoundland and Labrador,Bay Roberts,Spaniard's Bay (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,Spaniard's Bay (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,Spaniard's Bay (T),Total,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,Bay Roberts (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,Bay Roberts (T),Apt & Other / App. & autres,,,,,563,a,,,557,a
Newfoundland and Labrador,Bay Roberts,Bay Roberts (T),Total,,,,,563,a,,,557,a
Newfoundland and Labrador,Bay Roberts,North River (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,North River (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,North River (T),Total,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,Total,Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Bay Roberts,Total,Apt & Other / App. & autres,,,,,563,a,,,557,a
Newfoundland and Labrador,Bay Roberts,Total,Total,,,,,563,a,,,557,a
Newfoundland and Labrador,Corner Brook,Steady Brook (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Steady Brook (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Steady Brook (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Gillams (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Gillams (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Gillams (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Massey Drive (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Massey Drive (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Massey Drive (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Corner Brook (CY),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Corner Brook (CY),Apt & Other / App. & autres,439,a,527,a,610,a,740,a,591,a
Newfoundland and Labrador,Corner Brook,Corner Brook (CY),Total,439,a,521,a,610,a,738,a,588,a
Newfoundland and Labrador,Corner Brook,Humber Arm South (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Humber Arm South (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Humber Arm South (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,McIver's (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,McIver's (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,McIver's (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Meadows (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Meadows (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Meadows (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Irishtown-Summerside (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Irishtown-Summerside (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Irishtown-Summerside (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Mount Moriah (T),Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Mount Moriah (T),Apt & Other / App. & autres,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Mount Moriah (T),Total,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Total,Row / En bande,,,,,,,,,,
Newfoundland and Labrador,Corner Brook,Total,Apt & Other / App. & autres,439,a,527,a,610,a,740,a,591,a
Newfoundland and Labrador,Corner Brook,Total,Total,439,a,521,a,610,a,738,a,588,a
Newfoundland and Labrador,Grand Falls-Windsor,Grand Falls-Windsor (T),Row / En bande,,,,,826,a,589,a,729,a
Newfoundland and Labrador,Grand Falls-Windsor,Grand Falls-Windsor (T),Apt & Other / App. & autres,,,533,a,659,a,,,634,a
Newfoundland and Labrador,Grand Falls-Windsor,Grand Falls-Windsor (T),Total,,,535,a,696,a,608,a,661,a
Newfoundland and Labrador,Grand Falls-Windsor,Total,Row / En bande,,,,,826,a,589,a,729,a
Newfoundland and Labrador,Grand Falls-Windsor,Total,Apt & Other / App. & autres,,,533,a,659,a,,,634,a
Newfoundland and Labrador,Grand Falls-Windsor,Total,Total,,,535,a,696,a,608,a,661,a
Newfoundland and Labrador,Total,Total,Row / En bande,,,512,a,814,a,780,b,753,a
Newfoundland and Labrador,Total,Total,Apt & Other / App. & autres,591,a,663,a,725,a,821,a,706,a
Newfoundland and Labrador,Total,Total,Total,591,a,654,a,733,a,812,a,710,a
Prince Edward Island,Charlottetown,Lot 48 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 48 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 48 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 31 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 31 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 31 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 65 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 65 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 65 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Meadowbank (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Meadowbank (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Meadowbank (COM),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Clyde River (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Clyde River (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Clyde River (COM),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Miltonvale Park (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Miltonvale Park (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Miltonvale Park (COM),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 23 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 23 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 23 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Brackley (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Brackley (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Brackley (COM),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 33 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 33 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 33 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Union Road (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Union Road (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Union Road (COM),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 34 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 34 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 34 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 35 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 35 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 35 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 36 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 36 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Lot 36 (LOT),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Winsloe South (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Winsloe South (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Winsloe South (COM),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Warren Grove (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Warren Grove (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Charlottetown,Warren Grove (COM),Total,,,,,,,,,,
Prince Edward Island,Charlottetown,Charlottetown (CY),Row / En bande,,,,,,,1015,a,996,a
Prince Edward Island,Charlottetown,Charlottetown (CY),Apt & Other / App. & autres,513,a,630,a,794,a,941,a,746,a
Prince Edward Island,Charlottetown,Charlottetown (CY),Total,513,a,630,a,795,a,980,a,760,a
Prince Edward Island,Charlottetown,Stratford (T),Row / En bande,,,,,,,,,,
Prince Edward Island,Charlottetown,Stratford (T),Apt & Other / App. & autres,,,694,a,871,a,1001,b,868,a
Prince Edward Island,Charlottetown,Stratford (T),Total,,,694,a,871,a,984,b,868,a
Prince Edward Island,Charlottetown,Cornwall (T),Row / En bande,,,,,,,856,b,862,b
Prince Edward Island,Charlottetown,Cornwall (T),Apt & Other / App. & autres,,,544,a,729,a,,,688,a
Prince Edward Island,Charlottetown,Cornwall (T),Total,,,544,a,740,a,856,b,744,a
Prince Edward Island,Charlottetown,Total,Row / En bande,,,,,855,a,990,a,960,a
Prince Edward Island,Charlottetown,Total,Apt & Other / App. & autres,513,a,631,a,803,a,952,a,758,a
Prince Edward Island,Charlottetown,Total,Total,513,a,632,a,804,a,972,a,771,a
Prince Edward Island,Summerside,Lot 17 (LOT),Row / En bande,,,,,,,,,,
Prince Edward Island,Summerside,Lot 17 (LOT),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Summerside,Lot 17 (LOT),Total,,,,,,,,,,
Prince Edward Island,Summerside,Linkletter (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Summerside,Linkletter (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Summerside,Linkletter (COM),Total,,,,,,,,,,
Prince Edward Island,Summerside,Miscouche (COM),Row / En bande,,,,,,,,,,
Prince Edward Island,Summerside,Miscouche (COM),Apt & Other / App. & autres,,,,,,,,,,
Prince Edward Island,Summerside,Miscouche (COM),Total,,,,,,,,,,
Prince Edward Island,Summerside,Summerside (CY),Row / En bande,,,390,b,767,b,716,a,699,a
Prince Edward Island,Summerside,Summerside (CY),Apt & Other / App. & autres,540,a,534,a,707,a,735,a,687,a
Prince Edward Island,Summerside,Summerside (CY),Total,493,a,495,a,715,a,720,a,691,a
Prince Edward Island,Summerside,Total,Row / En bande,,,390,b,772,b,716,a,701,a
Prince Edward Island,Summerside,Total,Apt & Other / App. & autres,540,a,534,a,707,a,735,a,687,a
Prince Edward Island,Summerside,Total,Total,493,a,495,a,717,a,720,a,692,a
Prince Edward Island,Total,Total,Row / En bande,,,469,d,804,a,832,a,805,a
Prince Edward Island,Total,Total,Apt & Other / App. & autres,516,a,624,a,787,a,890,a,747,a
Prince Edward Island,Total,Total,Total,509,a,619,a,788,a,853,a,755,a
Nova Scotia,Halifax,Halifax (RGM),Row / En bande,,,727,a,895,b,1118,a,977,a
Nova Scotia,Halifax,Halifax (RGM),Apt & Other / App. & autres,690,a,773,a,954,a,1191,a,893,a
Nova Scotia,Halifax,Halifax (RGM),Total,690,a,773,a,953,a,1186,a,894,a
Nova Scotia,Halifax,Total,Row / En bande,,,727,a,895,b,1118,a,977,a
Nova Scotia,Halifax,Total,Apt & Other / App. & autres,690,a,773,a,954,a,1191,a,893,a
Nova Scotia,Halifax,Total,Total,690,a,773,a,953,a,1186,a,894,a
Nova Scotia,Cape Breton,Cape Breton (RGM),Row / En bande,,,,,720,a,,,673,a
Nova Scotia,Cape Breton,Cape Breton (RGM),Apt & Other / App. & autres,526,a,580,a,712,a,826,b,670,a
Nova Scotia,Cape Breton,Cape Breton (RGM),Total,526,a,580,a,712,a,826,b,670,a
Nova Scotia,Cape Breton,Total,Row / En bande,,,,,720,a,,,673,a
Nova Scotia,Cape Breton,Total,Apt & Other / App. & autres,526,a,580,a,712,a,826,b,670,a
Nova Scotia,Cape Breton,Total,Total,526,a,580,a,712,a,826,b,670,a
Nova Scotia,Chester (MD),Chester (MD),Row / En bande,,,,,,,,,,
Nova Scotia,Chester (MD),Chester (MD),Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,Chester (MD),Chester (MD),Total,,,,,,,,,,
Nova Scotia,Chester (MD),Total,Row / En bande,,,,,,,,,,
Nova Scotia,Chester (MD),Total,Apt & Other / App. & autres,,,,,,,,,,
Nova Scotia,Chester (MD),Total,Total,,,,,,,,,,
Nova Scotia,East Hants (MD),East Hants (MD),Row / En bande,,,,,,,,,,
Nova Scotia,East Hants (MD),East Hants (MD),Apt & Other / App. & autres,,,537,c,762,a,754,a,712,a
Nova Scotia,East Hants (MD),East Hants (MD),Total,,,537,c,767,a,754,a,718,a
Nova Scotia,East Hants (MD),Total,Row / En bande,,,,,,,,,,
Nova Scotia,East Hants (MD),Total,Apt & Other / App. & autres,,,537,c,762,a,754,a,712,a
Nova Scotia,East Hants (MD),Total,Total,,,537,c,767,a,754,a,718,a
Nova Scotia,"Kings, Subd. A (SC)","Kings, Subd. A (SC)",Row / En bande,,,,,,,,,,
